|       | symbol   | companyName                                                                                                                                                      | currency   | exchange                     | exchangeShortName   | country   | state                     |
|    47 | ZNGA     | Zynga Inc.                                                                                                                                                       | USD        | Nasdaq Global Select         | NASDAQ              | US        | CALIFORNIA                |
|    48 | XOM      | Exxon Mobil Corporation                                                                                                                                          | USD        | New York Stock Exchange      | NYSE                | US        | TEXAS                     |
|    49 | QCOM     | QUALCOMM Incorporated                                                                                                                                            | USD        | Nasdaq Global Select         | NASDAQ              | US        | CALIFORNIA                |
|    50 | VIPS     | Vipshop Holdings Limited                                                                                                                                         | USD        | New York Stock Exchange      | NYSE                | CN        | GUANGDONG                 |
|    51 | GLD      | SPDR Gold Shares                                                                                                                                                 | USD        | New York Stock Exchange Arca | NYSE                | US        |                           |
|    52 | CSCO     | Cisco Systems, Inc.                                                                                                                                              | USD        | Nasdaq Global Select         | NASDAQ              | US        | CALIFORNIA                |
|    53 | AXP      | American Express Company                                                                                                                                         | USD        | New York Stock Exchange      | NYSE                | US        | NEW YORK                  |
|    54 | BMY      | Bristol-Myers Squibb Company                                                                                                                                     | USD        | New York Stock Exchange      | NYSE                | US        | NEW YORK                  |
|    55 | V        | Visa Inc.                                                                                                                                                        | USD        | New York Stock Exchange      | NYSE                | US        | CALIFORNIA                |
|    56 | USO      | United States Oil Fund, LP                                                                                                                                       | USD        | New York Stock Exchange Arca | NYSE                | US        |                           |
|    57 | GRPN     | Groupon, Inc.                                                                                                                                                    | USD        | Nasdaq Global Select         | NASDAQ              | US        | ILLINOIS                  |
|    58 | OIH      | VanEck Vectors Oil Services ETF                                                                                                                                  | USD        | New York Stock Exchange Arca | NYSE                | US        |                           |
|    59 | GERN     | Geron Corporation                                                                                                                                                | USD        | Nasdaq Global Select         | NASDAQ              | US        | CALIFORNIA                |
|    60 | KEY      | KeyCorp                                                                                                                                                          | USD        | New York Stock Exchange      | NYSE                | US        | OHIO                      |
|    61 | RF       | Regions Financial Corporation                                                                                                                                    | USD        | New York Stock Exchange      | NYSE                | US        | ALABAMA                   |
|    62 | KR       | The Kroger Co.                                                                                                                                                   | USD        | New York Stock Exchange      | NYSE                | US        | OHIO                      |
|    63 | HAL      | Halliburton Company                                                                                                                                              | USD        | New York Stock Exchange      | NYSE                | US        | TEXAS                     |
|    64 | BABA     | Alibaba Group Holding Limited                                                                                                                                    | USD        | New York Stock Exchange      | NYSE                | CN        | ZHEJIANG                  |
|    65 | MRO      | Marathon Oil Corporation                                                                                                                                         | USD        | New York Stock Exchange      | NYSE                | US        | TEXAS                     |
|    66 | GILD     | Gilead Sciences, Inc.                                                                                                                                            | USD        | Nasdaq Global Select         | NASDAQ              | US        | CALIFORNIA                |
|    67 | IEMG     | iShares Core MSCI Emerging Markets ETF                                                                                                                           | USD        | New York Stock Exchange Arca | NYSE                | US        |                           |
|    68 | GM       | General Motors Company                                                                                                                                           | USD        | New York Stock Exchange      | NYSE                | US        | MICHIGAN                  |
|    69 | FCX      | Freeport-McMoRan Inc.                                                                                                                                            | USD        | New York Stock Exchange      | NYSE                | US        | ARIZONA                   |
|    70 | CRM      | salesforce.com, inc.                                                                                                                                             | USD        | New York Stock Exchange      | NYSE                | US        | CALIFORNIA                |
|    71 | ATVI     | Activision Blizzard, Inc.                                                                                                                                        | USD        | Nasdaq Global Select         | NASDAQ              | US        | CALIFORNIA                |
|    72 | SQ       | Square, Inc.                                                                                                                                                     | USD        | New York Stock Exchange      | NYSE                | US        | CALIFORNIA                |
|    73 | XLK      | Technology Select Sector SPDR Fund                                                                                                                               | USD        | New York Stock Exchange Arca | NYSE                | US        |                           |
|    74 | NUE      | Nucor Corporation                                                                                                                                                | USD        | New York Stock Exchange      | NYSE                | US        | NORTH CAROLINA            |
|    75 | XOP      | SPDR S&P Oil & Gas Exploration & Production ETF                                                                                                                  | USD        | New York Stock Exchange Arca | NYSE                | US        |                           |
|    76 | SWN      | Southwestern Energy Company                                                                                                                                      | USD        | New York Stock Exchange      | NYSE                | US        | TEXAS                     |
|    77 | LOW      | Lowe's Companies, Inc.                                                                                                                                           | USD        | New York Stock Exchange      | NYSE                | US        | NORTH CAROLINA            |
|    78 | RAD      | Rite Aid Corporation                                                                                                                                             | USD        | New York Stock Exchange      | NYSE                | US        | PENNSYLVANIA              |
|    79 | VEON     | VEON Ltd.                                                                                                                                                        | USD        | Nasdaq Global Select         | NASDAQ              | NL        |                           |
|    80 | HYG      | iShares iBoxx $ High Yield Corporate Bond ETF                                                                                                                    | USD        | New York Stock Exchange Arca | NYSE                | US        |                           |
