|       | symbol   | companyName                                                                                                                                                      | currency   | exchange                     | exchangeShortName   | country   | state                     |
|   630 | PVG      | Pretium Resources Inc.                                                                                                                                           | USD        | New York Stock Exchange      | NYSE                | CA        | BRITISH COLUMBIA          |
|   631 | HA       | Hawaiian Holdings, Inc.                                                                                                                                          | USD        | Nasdaq Global Select         | NASDAQ              | US        | HAWAII                    |
|   632 | PBCT     | People's United Financial, Inc.                                                                                                                                  | USD        | Nasdaq Global Select         | NASDAQ              | US        | CONNECTICUT               |
|   633 | UCBI     | United Community Banks, Inc.                                                                                                                                     | USD        | Nasdaq Global Select         | NASDAQ              | US        | GEORGIA                   |
|   634 | LBTYA    | Liberty Global plc                                                                                                                                               | USD        | Nasdaq Global Select         | NASDAQ              | GB        | MIDDLESEX                 |
|   635 | AVYA     | Avaya Holdings Corp.                                                                                                                                             | USD        | New York Stock Exchange      | NYSE                | US        | CALIFORNIA                |
|   636 | CBSH     | Commerce Bancshares, Inc.                                                                                                                                        | USD        | Nasdaq Global Select         | NASDAQ              | US        | MISSOURI                  |
|   637 | SC       | Santander Consumer USA Holdings Inc.                                                                                                                             | USD        | New York Stock Exchange      | NYSE                | US        | TEXAS                     |
|   638 | ANF      | Abercrombie & Fitch Co.                                                                                                                                          | USD        | New York Stock Exchange      | NYSE                | US        | OHIO                      |
|   639 | HIG      | The Hartford Financial Services Group, Inc.                                                                                                                      | USD        | New York Stock Exchange      | NYSE                | US        | CONNECTICUT               |
|   640 | ITW      | Illinois Tool Works Inc.                                                                                                                                         | USD        | New York Stock Exchange      | NYSE                | US        | ILLINOIS                  |
|   641 | AZN      | AstraZeneca PLC                                                                                                                                                  | USD        | New York Stock Exchange      | NYSE                | GB        |                           |
|   642 | YELP     | Yelp Inc.                                                                                                                                                        | USD        | New York Stock Exchange      | NYSE                | US        | CALIFORNIA                |
|   643 | MTOR     | Meritor, Inc.                                                                                                                                                    | USD        | New York Stock Exchange      | NYSE                | US        | MICHIGAN                  |
|   644 | EVC      | Entravision Communications Corporation                                                                                                                           | USD        | New York Stock Exchange      | NYSE                | US        | CALIFORNIA                |
|   645 | SPXS     | Direxion Daily S&P 500 Bear 3X Shares                                                                                                                            | USD        | New York Stock Exchange Arca | NYSE                | US        |                           |
|   646 | IRM      | Iron Mountain Incorporated                                                                                                                                       | USD        | New York Stock Exchange      | NYSE                | US        | MASSACHUSETTS             |
|   647 | TSCO     | Tractor Supply Company                                                                                                                                           | USD        | Nasdaq Global Select         | NASDAQ              | US        | TENNESSEE                 |
|   648 | EWC      | iShares MSCI Canada ETF                                                                                                                                          | USD        | New York Stock Exchange Arca | NYSE                | US        |                           |
|   649 | POST     | Post Holdings, Inc.                                                                                                                                              | USD        | New York Stock Exchange      | NYSE                | US        | MISSOURI                  |
|   650 | EL       | The Estée Lauder Companies Inc.                                                                                                                                  | USD        | New York Stock Exchange      | NYSE                | US        | NEW YORK                  |
|   651 | ING      | ING Groep N.V.                                                                                                                                                   | USD        | New York Stock Exchange      | NYSE                | NL        |                           |
|   652 | UBS      | UBS Group AG                                                                                                                                                     | USD        | New York Stock Exchange      | NYSE                | CH        | ZUERICH                   |
|   653 | KRG      | Kite Realty Group Trust                                                                                                                                          | USD        | New York Stock Exchange      | NYSE                | US        | INDIANA                   |
|   654 | VSH      | Vishay Intertechnology, Inc.                                                                                                                                     | USD        | New York Stock Exchange      | NYSE                | US        | PENNSYLVANIA              |
|   655 | TER      | Teradyne, Inc.                                                                                                                                                   | USD        | Nasdaq Global Select         | NASDAQ              | US        | MASSACHUSETTS             |
|   656 | EMB      | iShares J.P. Morgan USD Emerging Markets Bond ETF                                                                                                                | USD        | Nasdaq Global Market         | NASDAQ              | US        |                           |
|   657 | SPSB     | SPDR Portfolio Short Term Corporate Bond ETF                                                                                                                     | USD        | New York Stock Exchange Arca | NYSE                | US        |                           |
|   658 | TWLO     | Twilio Inc.                                                                                                                                                      | USD        | New York Stock Exchange      | NYSE                | US        | CALIFORNIA                |
|   659 | TRUE     | TrueCar, Inc.                                                                                                                                                    | USD        | Nasdaq Global Select         | NASDAQ              | US        | CALIFORNIA                |
|   660 | RLGY     | Realogy Holdings Corp.                                                                                                                                           | USD        | New York Stock Exchange      | NYSE                | US        | NEW JERSEY                |
|   661 | HPP      | Hudson Pacific Properties, Inc.                                                                                                                                  | USD        | New York Stock Exchange      | NYSE                | US        | CALIFORNIA                |
|   662 | CNO      | CNO Financial Group, Inc.                                                                                                                                        | USD        | New York Stock Exchange      | NYSE                | US        | INDIANA                   |
|   663 | JNPR     | Juniper Networks, Inc.                                                                                                                                           | USD        | New York Stock Exchange      | NYSE                | US        | CALIFORNIA                |
|   664 | SMH      | VanEck Vectors Semiconductor ETF                                                                                                                                 | USD        | New York Stock Exchange Arca | NYSE                | US        |                           |
|   665 | URBN     | Urban Outfitters, Inc.                                                                                                                                           | USD        | Nasdaq Global Select         | NASDAQ              | US        | PENNSYLVANIA              |
|   666 | ROKU     | Roku, Inc.                                                                                                                                                       | USD        | Nasdaq Global Select         | NASDAQ              | US        | CALIFORNIA                |
|   667 | FEDU     | Four Seasons Education (Cayman) Inc.                                                                                                                             | USD        | New York Stock Exchange      | NYSE                | CN        | SHANGHAI                  |
|   668 | AUD      | Audacy, Inc.                                                                                                                                                     | USD        | New York Stock Exchange      | NYSE                | US        | PENNSYLVANIA              |
|   669 | BANC     | Banc of California, Inc.                                                                                                                                         | USD        | New York Stock Exchange      | NYSE                | US        | CALIFORNIA                |
|   670 | INVH     | Invitation Homes Inc.                                                                                                                                            | USD        | New York Stock Exchange      | NYSE                | US        | TEXAS                     |
|   671 | OMF      | OneMain Holdings, Inc.                                                                                                                                           | USD        | New York Stock Exchange      | NYSE                | US        | INDIANA                   |
|   672 | LW       | Lamb Weston Holdings, Inc.                                                                                                                                       | USD        | New York Stock Exchange      | NYSE                | US        | IDAHO                     |
|   673 | CTRE     | CareTrust REIT, Inc.                                                                                                                                             | USD        | Nasdaq Global Select         | NASDAQ              | US        | CALIFORNIA                |
|   674 | NHI      | National Health Investors, Inc.                                                                                                                                  | USD        | New York Stock Exchange      | NYSE                | US        | TENNESSEE                 |
|   675 | FE       | FirstEnergy Corp.                                                                                                                                                | USD        | New York Stock Exchange      | NYSE                | US        | OHIO                      |
|   676 | NOC      | Northrop Grumman Corporation                                                                                                                                     | USD        | New York Stock Exchange      | NYSE                | US        | VIRGINIA                  |
|   677 | ASH      | Ashland Global Holdings Inc.                                                                                                                                     | USD        | New York Stock Exchange      | NYSE                | US        | DELAWARE                  |
|   678 | MCHP     | Microchip Technology Incorporated                                                                                                                                | USD        | Nasdaq Global Select         | NASDAQ              | US        | ARIZONA                   |
|   679 | KLIC     | Kulicke and Soffa Industries, Inc.                                                                                                                               | USD        | Nasdaq Global Select         | NASDAQ              | SG        |                           |
|   680 | O        | Realty Income Corporation                                                                                                                                        | USD        | New York Stock Exchange      | NYSE                | US        | CALIFORNIA                |
|   681 | XLV      | Health Care Select Sector SPDR Fund                                                                                                                              | USD        | New York Stock Exchange Arca | NYSE                | US        |                           |
|   682 | FET      | Forum Energy Technologies, Inc.                                                                                                                                  | USD        | New York Stock Exchange      | NYSE                | US        | TEXAS                     |
|   683 | TPH      | Tri Pointe Homes, Inc.                                                                                                                                           | USD        | New York Stock Exchange      | NYSE                | US        | CALIFORNIA                |
|   684 | AMX      | América Móvil, S.A.B. de C.V.                                                                                                                                    | USD        | New York Stock Exchange      | NYSE                | MX        | DF                        |
|   685 | FLO      | Flowers Foods, Inc.                                                                                                                                              | USD        | New York Stock Exchange      | NYSE                | US        | GEORGIA                   |
|   686 | SHO      | Sunstone Hotel Investors, Inc.                                                                                                                                   | USD        | New York Stock Exchange      | NYSE                | US        | CALIFORNIA                |
|   687 | TEAM     | Atlassian Corporation Plc                                                                                                                                        | USD        | Nasdaq Global Select         | NASDAQ              | GB        |                           |
|   688 | COF      | Capital One Financial Corporation                                                                                                                                | USD        | New York Stock Exchange      | NYSE                | US        | VIRGINIA                  |
|   689 | PFPT     | Proofpoint, Inc.                                                                                                                                                 | USD        | Nasdaq Global Market         | NASDAQ              | US        | CALIFORNIA                |
|   690 | EWL      | iShares MSCI Switzerland ETF                                                                                                                                     | USD        | New York Stock Exchange Arca | NYSE                | US        |                           |
|   691 | FLT      | FLEETCOR Technologies, Inc.                                                                                                                                      | USD        | New York Stock Exchange      | NYSE                | US        | GEORGIA                   |
|   692 | PLUG     | Plug Power Inc.                                                                                                                                                  | USD        | Nasdaq Capital Market        | NASDAQ              | US        | NEW YORK                  |
|   693 | HIMX     | Himax Technologies, Inc.                                                                                                                                         | USD        | Nasdaq Global Select         | NASDAQ              | TW        | TAINAN                    |
|   694 | IGT      | International Game Technology PLC                                                                                                                                | USD        | New York Stock Exchange      | NYSE                | GB        |                           |
|   695 | IBB      | iShares Nasdaq Biotechnology ETF                                                                                                                                 | USD        | Nasdaq Global Market         | NASDAQ              | US        |                           |
|   696 | FANG     | Diamondback Energy, Inc.                                                                                                                                         | USD        | Nasdaq Global Select         | NASDAQ              | US        | TEXAS                     |
|   697 | XLRE     | The Real Estate Select Sector SPDR Fund                                                                                                                          | USD        | New York Stock Exchange Arca | NYSE                | US        |                           |
|   698 | TROW     | T. Rowe Price Group, Inc.                                                                                                                                        | USD        | Nasdaq Global Select         | NASDAQ              | US        | MARYLAND                  |
|   699 | ARLP     | Alliance Resource Partners, L.P.                                                                                                                                 | USD        | Nasdaq Global Select         | NASDAQ              | US        | OKLAHOMA                  |
|   700 | RXN      | Rexnord Corporation                                                                                                                                              | USD        | New York Stock Exchange      | NYSE                | US        | WISCONSIN                 |
|   701 | OSK      | Oshkosh Corporation                                                                                                                                              | USD        | New York Stock Exchange      | NYSE                | US        | WISCONSIN                 |
|   702 | DHR      | Danaher Corporation                                                                                                                                              | USD        | New York Stock Exchange      | NYSE                | US        | WASHINGTON DC             |
|   703 | BLMN     | Bloomin' Brands, Inc.                                                                                                                                            | USD        | Nasdaq Global Select         | NASDAQ              | US        | FLORIDA                   |
|   704 | BNDX     | Vanguard Total International Bond Index Fund ETF Shares                                                                                                          | USD        | Nasdaq Global Market         | NASDAQ              | US        |                           |
|   705 | AMN      | AMN Healthcare Services, Inc.                                                                                                                                    | USD        | New York Stock Exchange      | NYSE                | US        | TEXAS                     |
|   706 | PPC      | Pilgrim's Pride Corporation                                                                                                                                      | USD        | Nasdaq Global Select         | NASDAQ              | US        | COLORADO                  |
|   707 | GNTX     | Gentex Corporation                                                                                                                                               | USD        | Nasdaq Global Select         | NASDAQ              | US        | MICHIGAN                  |
|   708 | RCL      | Royal Caribbean Group                                                                                                                                            | USD        | New York Stock Exchange      | NYSE                | US        | FLORIDA                   |
|   709 | INTU     | Intuit Inc.                                                                                                                                                      | USD        | Nasdaq Global Select         | NASDAQ              | US        | CALIFORNIA                |
|   710 | W        | Wayfair Inc.                                                                                                                                                     | USD        | New York Stock Exchange      | NYSE                | US        | MASSACHUSETTS             |
|   711 | PCAR     | PACCAR Inc                                                                                                                                                       | USD        | Nasdaq Global Select         | NASDAQ              | US        | WASHINGTON                |
|   712 | IR       | Ingersoll Rand Inc.                                                                                                                                              | USD        | New York Stock Exchange      | NYSE                | US        | NORTH CAROLINA            |
|   713 | PEG      | Public Service Enterprise Group Incorporated                                                                                                                     | USD        | New York Stock Exchange      | NYSE                | US        | NEW JERSEY                |
|   714 | FBP      | First BanCorp.                                                                                                                                                   | USD        | New York Stock Exchange      | NYSE                | PR        |                           |
|   715 | WEC      | WEC Energy Group, Inc.                                                                                                                                           | USD        | New York Stock Exchange      | NYSE                | US        | WISCONSIN                 |
|   716 | MDC      | M.D.C. Holdings, Inc.                                                                                                                                            | USD        | New York Stock Exchange      | NYSE                | US        | COLORADO                  |
|   717 | TISI     | Team, Inc.                                                                                                                                                       | USD        | New York Stock Exchange      | NYSE                | US        | TEXAS                     |
|   718 | YUMC     | Yum China Holdings, Inc.                                                                                                                                         | USD        | New York Stock Exchange      | NYSE                | CN        | SHANGHAI                  |
|   719 | HMSY     | HMS Holdings Corp                                                                                                                                                | USD        | Nasdaq Global Select         | NASDAQ              | US        | TEXAS                     |
|   720 | ALV      | Autoliv, Inc.                                                                                                                                                    | USD        | New York Stock Exchange      | NYSE                | SE        | STOCKHOLM                 |
|   721 | IWF      | iShares Russell 1000 Growth ETF                                                                                                                                  | USD        | New York Stock Exchange Arca | NYSE                | US        |                           |
|   722 | BHP      | BHP Group                                                                                                                                                        | USD        | New York Stock Exchange      | NYSE                | AU        | VIC                       |
|   723 | BXP      | Boston Properties, Inc.                                                                                                                                          | USD        | New York Stock Exchange      | NYSE                | US        | MASSACHUSETTS             |
|   724 | BYD      | Boyd Gaming Corporation                                                                                                                                          | USD        | New York Stock Exchange      | NYSE                | US        | NEVADA                    |
|   725 | WGO      | Winnebago Industries, Inc.                                                                                                                                       | USD        | New York Stock Exchange      | NYSE                | US        | IOWA                      |
|   726 | KSU      | Kansas City Southern                                                                                                                                             | USD        | New York Stock Exchange      | NYSE                | US        | MISSOURI                  |
|   727 | PUMP     | ProPetro Holding Corp.                                                                                                                                           | USD        | New York Stock Exchange      | NYSE                | US        | TEXAS                     |
|   728 | XLNX     | Xilinx, Inc.                                                                                                                                                     | USD        | Nasdaq Global Select         | NASDAQ              | US        | CALIFORNIA                |
|   729 | NOG      | Northern Oil and Gas, Inc.                                                                                                                                       | USD        | NYSE American                | AMEX                | US        | MINNESOTA                 |
|   730 | GLOG     | GasLog Ltd.                                                                                                                                                      | USD        | New York Stock Exchange      | NYSE                | GR        |                           |
|   731 | FOLD     | Amicus Therapeutics, Inc.                                                                                                                                        | USD        | Nasdaq Global Market         | NASDAQ              | US        | NEW JERSEY                |
|   732 | JBHT     | J.B. Hunt Transport Services, Inc.                                                                                                                               | USD        | Nasdaq Global Select         | NASDAQ              | US        | ARKANSAS                  |
|   733 | AGG      | iShares Core U.S. Aggregate Bond ETF                                                                                                                             | USD        | New York Stock Exchange Arca | NYSE                | US        |                           |
|   734 | FBHS     | Fortune Brands Home & Security, Inc.                                                                                                                             | USD        | New York Stock Exchange      | NYSE                | US        | ILLINOIS                  |
|   735 | TXT      | Textron Inc.                                                                                                                                                     | USD        | New York Stock Exchange      | NYSE                | US        | RHODE ISLAND              |
|   736 | EXPD     | Expeditors International of Washington, Inc.                                                                                                                     | USD        | Nasdaq Global Select         | NASDAQ              | US        | WASHINGTON                |
|   737 | EXPE     | Expedia Group, Inc.                                                                                                                                              | USD        | Nasdaq Global Select         | NASDAQ              | US        | WASHINGTON                |
|   738 | WERN     | Werner Enterprises, Inc.                                                                                                                                         | USD        | Nasdaq Global Select         | NASDAQ              | US        | NEBRASKA                  |
|   739 | AGI      | Alamos Gold Inc.                                                                                                                                                 | USD        | New York Stock Exchange      | NYSE                | CA        | ONTARIO                   |
|   740 | ED       | Consolidated Edison, Inc.                                                                                                                                        | USD        | New York Stock Exchange      | NYSE                | US        | NEW YORK                  |
|   741 | HCSG     | Healthcare Services Group, Inc.                                                                                                                                  | USD        | Nasdaq Global Select         | NASDAQ              | US        | PENNSYLVANIA              |
|   742 | DVAX     | Dynavax Technologies Corporation                                                                                                                                 | USD        | Nasdaq Capital Market        | NASDAQ              | US        | CALIFORNIA                |
|   743 | DLTR     | Dollar Tree, Inc.                                                                                                                                                | USD        | Nasdaq Global Select         | NASDAQ              | US        | VIRGINIA                  |
|   744 | VIXY     | ProShares VIX Short-Term Futures ETF                                                                                                                             | USD        | New York Stock Exchange Arca | NYSE                | US        |                           |
|   745 | OUT      | Outfront Media Inc. (REIT)                                                                                                                                       | USD        | New York Stock Exchange      | NYSE                | US        | NEW YORK                  |
|   746 | MTSI     | MACOM Technology Solutions Holdings, Inc.                                                                                                                        | USD        | Nasdaq Global Select         | NASDAQ              | US        | MASSACHUSETTS             |
|   747 | DBD      | Diebold Nixdorf, Incorporated                                                                                                                                    | USD        | New York Stock Exchange      | NYSE                | US        | OHIO                      |
|   748 | CBT      | Cabot Corporation                                                                                                                                                | USD        | New York Stock Exchange      | NYSE                | US        | MASSACHUSETTS             |
|   749 | STOR     | STORE Capital Corporation                                                                                                                                        | USD        | New York Stock Exchange      | NYSE                | US        | ARIZONA                   |
|   750 | VEU      | Vanguard FTSE All-World ex-US Index Fund ETF Shares                                                                                                              | USD        | New York Stock Exchange Arca | NYSE                | US        |                           |
|   751 | BGCP     | BGC Partners, Inc.                                                                                                                                               | USD        | Nasdaq Global Select         | NASDAQ              | US        | NEW YORK                  |
|   752 | VCIT     | Vanguard Intermediate-Term Corporate Bond Index Fund ETF Shares                                                                                                  | USD        | Nasdaq Global Market         | NASDAQ              | US        |                           |
|   753 | ABB      | ABB Ltd                                                                                                                                                          | USD        | New York Stock Exchange      | NYSE                | CH        |                           |
|   754 | GTE      | Gran Tierra Energy Inc.                                                                                                                                          | USD        | NYSE American                | AMEX                | CA        | ALBERTA                   |
|   755 | SWKS     | Skyworks Solutions, Inc.                                                                                                                                         | USD        | Nasdaq Global Select         | NASDAQ              | US        | CALIFORNIA                |
|   756 | CP       | Canadian Pacific Railway Limited                                                                                                                                 | USD        | New York Stock Exchange      | NYSE                | CA        | ALBERTA                   |
|   757 | PNR      | Pentair plc                                                                                                                                                      | USD        | New York Stock Exchange      | NYSE                | GB        |                           |
|   758 | PKI      | PerkinElmer, Inc.                                                                                                                                                | USD        | New York Stock Exchange      | NYSE                | US        | MASSACHUSETTS             |
|   759 | IIVI     | II-VI Incorporated                                                                                                                                               | USD        | Nasdaq Global Select         | NASDAQ              | US        | PENNSYLVANIA              |
|   760 | CROX     | Crocs, Inc.                                                                                                                                                      | USD        | Nasdaq Global Select         | NASDAQ              | US        | COLORADO                  |
|   761 | ASB      | Associated Banc-Corp                                                                                                                                             | USD        | New York Stock Exchange      | NYSE                | US        | WISCONSIN                 |
|   762 | UHS      | Universal Health Services, Inc.                                                                                                                                  | USD        | New York Stock Exchange      | NYSE                | US        | PENNSYLVANIA              |
|   763 | ENB      | Enbridge Inc.                                                                                                                                                    | USD        | New York Stock Exchange      | NYSE                | CA        | ALBERTA                   |
|   764 | TDC      | Teradata Corporation                                                                                                                                             | USD        | New York Stock Exchange      | NYSE                | US        | CALIFORNIA                |
|   765 | AG       | First Majestic Silver Corp.                                                                                                                                      | USD        | New York Stock Exchange      | NYSE                | CA        | BRITISH COLUMBIA          |
|   766 | ACHC     | Acadia Healthcare Company, Inc.                                                                                                                                  | USD        | Nasdaq Global Select         | NASDAQ              | US        | TENNESSEE                 |
|   767 | NAT      | Nordic American Tankers Limited                                                                                                                                  | USD        | New York Stock Exchange      | NYSE                | BM        |                           |
|   768 | MLHR     | Herman Miller, Inc.                                                                                                                                              | USD        | Nasdaq Global Select         | NASDAQ              | US        | MICHIGAN                  |
|   769 | SPG      | Simon Property Group, Inc.                                                                                                                                       | USD        | New York Stock Exchange      | NYSE                | US        | INDIANA                   |
|   770 | EWA      | iShares MSCI Australia ETF                                                                                                                                       | USD        | New York Stock Exchange Arca | NYSE                | US        |                           |
|   771 | QRTEA    | Qurate Retail, Inc.                                                                                                                                              | USD        | Nasdaq Global Select         | NASDAQ              | US        | COLORADO                  |
|   772 | TRIP     | TripAdvisor, Inc.                                                                                                                                                | USD        | Nasdaq Global Select         | NASDAQ              | US        | MASSACHUSETTS             |
|   773 | TRP      | TC Energy Corporation                                                                                                                                            | USD        | New York Stock Exchange      | NYSE                | CA        | ALBERTA                   |
|   774 | FAST     | Fastenal Company                                                                                                                                                 | USD        | Nasdaq Global Select         | NASDAQ              | US        | MINNESOTA                 |
|   775 | RH       | RH                                                                                                                                                               | USD        | New York Stock Exchange      | NYSE                | US        | CALIFORNIA                |
|   776 | IVV      | iShares Core S&P 500 ETF                                                                                                                                         | USD        | New York Stock Exchange Arca | NYSE                | US        |                           |
|   777 | CBRE     | CBRE Group, Inc.                                                                                                                                                 | USD        | New York Stock Exchange      | NYSE                | US        | CALIFORNIA                |
|   778 | HGV      | Hilton Grand Vacations Inc.                                                                                                                                      | USD        | New York Stock Exchange      | NYSE                | US        | FLORIDA                   |
|   779 | AEG      | Aegon N.V.                                                                                                                                                       | USD        | New York Stock Exchange      | NYSE                | NL        |                           |
|   780 | BTI      | British American Tobacco p.l.c.                                                                                                                                  | USD        | New York Stock Exchange      | NYSE                | GB        |                           |
|   781 | EWP      | iShares MSCI Spain ETF                                                                                                                                           | USD        | New York Stock Exchange Arca | NYSE                | US        |                           |
|   782 | NVS      | Novartis AG                                                                                                                                                      | USD        | New York Stock Exchange      | NYSE                | CH        |                           |
|   783 | EWBC     | East West Bancorp, Inc.                                                                                                                                          | USD        | Nasdaq Global Select         | NASDAQ              | US        | CALIFORNIA                |
|   784 | QSR      | Restaurant Brands International Inc.                                                                                                                             | USD        | New York Stock Exchange      | NYSE                | CA        | ONTARIO                   |
