,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory_x,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,year_x,code,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization_x,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome_x,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,year
0,14950000000,0.0,14950000000,10986000000.0,0.0,3502000000.0,29438000000.0,52317000000.0,70106000000.0,107209000000.0,177315000000.0,487000000.0,0.0,11065000000.0,249073000000.0,0.0,278511000000.0,11148000000,4777000000.0,0.0,3376000000,0.0,30811000000.0,98936000000,0.0,28260000000.0,25858000000.0,153600000000,0.0,184411000000.0,55000000.0,58321000000.0,-54793000000.0,0.0,92575000000.0,276986000000.0,0.0,103713000000,88763000000,2021,2021-Q1-CMCSA,27205000000.0,8919000000.0,18286000000.0,0.6721558537033634,0.0,8269000000.0,1616000000.0,13247000000.0,0.0,13247000000.0,22166000000.0,1018000000.0,2117000000.0,7156000000.0,0.2630398823745635,5039000000.0,0.1852233045396067,390000000.0,4411000000.0,0.16213931262635545,1119000000.0,3329000000.0,0.12236721190957545,0.73,0.71,4591000000.0,4665000000.0,2021-03-31,CMCSA,USD,2021-04-29,2021-04-29 15:22:23,Q1,28000000.0,373000000.0,873000000.0,0.0,0.0,517000000.0,62000000.0,7751000000.0,0.0,0.0,-52000000.0,0.0,98000000.0,-2612000000.0,-124000000.0,0.0,0.0,-1080000000.0,-577000000.0,-1898000000.0,-33000000.0,3208000000.0,14976000000.0,11768000000.0,7751000000.0,-2471000000.0,5280000000.0,2021
1,11740000000,0.0,11740000000,11466000000.0,0.0,3535000000.0,26741000000.0,51995000000.0,70669000000.0,108094000000.0,178763000000.0,447000000.0,0.0,8103000000.0,247128000000.0,0.0,273869000000.0,11364000000,0.0,0.0,2963000000,0.0,28796000000.0,100614000000,0.0,28051000000.0,23390000000.0,153335000000,0.0,182131000000.0,54000000.0,56438000000.0,-54388000000.0,0.0,91738000000.0,273869000000.0,0.0,103760000000,92020000000,2020,2020-Q4-CMCSA,27708000000.0,9438000000.0,18270000000.0,0.6593763533997401,0.0,9150000000.0,1950000000.0,14352000000.0,72000000.0,14352000000.0,23790000000.0,1044000000.0,1992000000.0,5910000000.0,0.21329579904720658,3918000000.0,0.14140320485058466,1542000000.0,4416000000.0,0.15937635339974016,979000000.0,3380000000.0,0.1219864299119388,0.737886,0.73,4580656172.0,4645000000.0,2020-12-31,CMCSA,USD,2021-02-04,2021-02-03 18:08:14,Q4,-326000000.0,271000000.0,-199000000.0,0.0,0.0,524000000.0,91000000.0,5042000000.0,0.0,0.0,-267000000.0,0.0,351000000.0,-4074000000.0,-2006000000.0,0.0,0.0,-1054000000.0,-62000000.0,-2922000000.0,-15000000.0,-1969000000.0,11768000000.0,13737000000.0,5042000000.0,-3519000000.0,1523000000.0,2020
2,13707000000,0.0,13707000000,10310000000.0,0.0,3352000000.0,27369000000.0,50466000000.0,68898000000.0,106591000000.0,175489000000.0,429000000.0,0.0,8485000000.0,241571000000.0,0.0,268940000000.0,10979000000,4429000000.0,0.0,2888000000,0.0,29511000000.0,99995000000,0.0,27905000000.0,22704000000.0,151858000000,0.0,181369000000.0,54000000.0,54254000000.0,212000000.0,0.0,87571000000.0,268940000000.0,0.0,104424000000,90717000000,2020,2020-Q1-CMCSA,26609000000.0,8301000000.0,18308000000.0,0.6880378819196512,0.0,8240000000.0,1938000000.0,13456000000.0,0.0,13456000000.0,21757000000.0,1212000000.0,3264000000.0,8116000000.0,0.3050095832237213,4852000000.0,0.1823443195911158,10000000.0,2924000000.0,0.1098876320042091,700000000.0,2147000000.0,0.08068698560637379,0.46502,0.46502,4617000000.0,4617000000.0,2020-09-30,CMCSA,USD,2020-10-29,2020-10-29 15:03:25,Q1,-140000000.0,301000000.0,-1182000000.0,0.0,0.0,-2142000000.0,254000000.0,5228000000.0,0.0,0.0,-74000000.0,0.0,-134000000.0,-3495000000.0,-6059000000.0,0.0,0.0,-1058000000.0,484000000.0,-2066000000.0,94000000.0,-239000000.0,13737000000.0,13976000000.0,5228000000.0,-2939000000.0,2289000000.0,2020
3,13707000000,0.0,13707000000,10310000000.0,0.0,3352000000.0,27369000000.0,50466000000.0,68898000000.0,106591000000.0,175489000000.0,429000000.0,0.0,8485000000.0,241571000000.0,0.0,268940000000.0,10979000000,4429000000.0,0.0,2888000000,0.0,29511000000.0,99995000000,0.0,27905000000.0,22704000000.0,151858000000,0.0,181369000000.0,54000000.0,54254000000.0,212000000.0,0.0,87571000000.0,268940000000.0,0.0,104424000000,90717000000,2020,2020-Q1-CMCSA,26609000000.0,8301000000.0,18308000000.0,0.6880378819196512,0.0,8240000000.0,1938000000.0,13456000000.0,0.0,13456000000.0,21757000000.0,1212000000.0,3264000000.0,8116000000.0,0.3050095832237213,4852000000.0,0.1823443195911158,10000000.0,2924000000.0,0.1098876320042091,700000000.0,2147000000.0,0.08068698560637379,0.46502,0.46502,4617000000.0,4617000000.0,2020-03-31,CMCSA,USD,2020-04-30 00:00:00,2020-04-30 15:24:15,Q1,-120000000.0,298000000.0,1384000000.0,0.0,0.0,-3516000000.0,227000000.0,5824000000.0,0.0,0.0,-69000000.0,0.0,15000000.0,-3101000000.0,-7439000000.0,0.0,0.0,-977000000.0,-258000000.0,374000000.0,-77000000.0,3020000000.0,8609000000.0,5589000000.0,5824000000.0,-2499000000.0,3325000000.0,2020
4,8516000000,0.0,8516000000,10800000000.0,0.0,4768000000.0,24084000000.0,48442000000.0,67218000000.0,106422000000.0,173640000000.0,612000000.0,0.0,9175000000.0,238337000000.0,0.0,262421000000.0,9963000000,2973000000.0,0.0,2634000000,0.0,27600000000.0,100604000000,0.0,27865000000.0,22310000000.0,152038000000,0.0,179638000000.0,54000000.0,51516000000.0,-1144000000.0,0.0,82783000000.0,262421000000.0,0.0,103577000000,95061000000,2020,2020-Q1-CMCSA,26609000000.0,8301000000.0,18308000000.0,0.6880378819196512,0.0,8240000000.0,1938000000.0,13456000000.0,0.0,13456000000.0,21757000000.0,1212000000.0,3264000000.0,8116000000.0,0.3050095832237213,4852000000.0,0.1823443195911158,10000000.0,2924000000.0,0.1098876320042091,700000000.0,2147000000.0,0.08068698560637379,0.46502,0.46502,4617000000.0,4617000000.0,2020-09-30,CMCSA,USD,2020-10-29,2020-10-29 15:03:25,Q1,-140000000.0,301000000.0,-1182000000.0,0.0,0.0,-2142000000.0,254000000.0,5228000000.0,0.0,0.0,-74000000.0,0.0,-134000000.0,-3495000000.0,-6059000000.0,0.0,0.0,-1058000000.0,484000000.0,-2066000000.0,94000000.0,-239000000.0,13737000000.0,13976000000.0,5228000000.0,-2939000000.0,2289000000.0,2020
